,City,Country,Latitude,Longitude,Hotel Name
26,katsuura,JP,35.13,140.3,Katsuura Hotel Mikazuki
105,sao filipe,CV,14.9,-24.5,Tortuga B&B
108,barentu,ER,15.11,37.59,
206,gangakher,IN,18.95,76.75,AVM Consultancy
248,tendukheda,IN,23.4,79.55,जैन धर्मशाला
262,qena,EG,26.16,32.72,"Grand hotel ""Quena"""
271,santa isabel,BR,-23.32,-46.22,Chácara Sombra do Altíssimo
357,amethi,IN,26.15,81.82,Taj Hotel
403,rosamorada,MX,22.12,-105.21,Hotel Catalina
415,birao,CF,10.28,22.79,
556,ambilobe,MG,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
